Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,0.732,0.0,0.688,0.0,0.692,0.0,0.67,0.0,0.622,0.0,0.658,0.0,0.752,0.0,0.53,0.0,0.58,0.0,0.694
0.02,0.732,0.02,0.688,0.02,0.692,0.02,0.67,0.02,0.622,0.02,0.658,0.02,0.752,0.02,0.53,0.02,0.58,0.02,0.694
0.04,0.732,0.04,0.688,0.04,0.692,0.04,0.67,0.04,0.622,0.04,0.658,0.04,0.752,0.04,0.53,0.04,0.58,0.04,0.694
0.06,0.732,0.06,0.688,0.06,0.692,0.06,0.67,0.06,0.622,0.06,0.658,0.06,0.752,0.06,0.53,0.06,0.58,0.06,0.694
0.08,0.732,0.08,0.688,0.08,0.692,0.08,0.67,0.08,0.622,0.08,0.658,0.08,0.752,0.08,0.53,0.08,0.58,0.08,0.694
0.1,0.73,0.1,0.688,0.1,0.6839999999999999,0.1,0.67,0.1,0.622,0.1,0.646,0.1,0.75,0.1,0.504,0.1,0.5599999999999999,0.1,0.6839999999999999
0.12,0.726,0.12,0.6839999999999999,0.12,0.674,0.12,0.67,0.12,0.622,0.12,0.632,0.12,0.75,0.12,0.476,0.12,0.54,0.12,0.6739999999999999
0.14,0.718,0.14,0.678,0.14,0.662,0.14,0.6679999999999999,0.14,0.618,0.14,0.616,0.14,0.75,0.14,0.44800000000000006,0.14,0.518,0.14,0.662
0.16,0.706,0.16,0.67,0.16,0.65,0.16,0.6679999999999999,0.16,0.612,0.16,0.596,0.16,0.75,0.16,0.42000000000000004,0.16,0.496,0.16,0.648
0.18,0.692,0.18,0.6599999999999999,0.18,0.634,0.18,0.664,0.18,0.6060000000000001,0.18,0.5780000000000001,0.18,0.75,0.18,0.39,0.18,0.47400000000000003,0.18,0.636
0.2,0.674,0.2,0.642,0.2,0.616,0.2,0.66,0.2,0.592,0.2,0.556,0.2,0.748,0.2,0.36,0.2,0.45,0.2,0.624
0.22,0.654,0.22,0.624,0.22,0.596,0.22,0.656,0.22,0.5780000000000001,0.22,0.532,0.22,0.7460000000000001,0.22,0.32999999999999996,0.22,0.426,0.22,0.61
0.24,0.634,0.24,0.602,0.24,0.572,0.24,0.6519999999999999,0.24,0.562,0.24,0.506,0.24,0.742,0.24,0.298,0.24,0.40199999999999997,0.24,0.596
0.26,0.608,0.26,0.5780000000000001,0.26,0.546,0.26,0.642,0.26,0.542,0.26,0.48,0.26,0.736,0.26,0.266,0.26,0.378,0.26,0.582
0.28,0.58,0.28,0.552,0.28,0.518,0.28,0.634,0.28,0.522,0.28,0.45,0.28,0.726,0.28,0.23399999999999999,0.28,0.352,0.28,0.568
0.3,0.55,0.3,0.524,0.3,0.49000000000000005,0.3,0.6220000000000001,0.3,0.5,0.3,0.42000000000000004,0.3,0.716,0.3,0.2,0.3,0.32799999999999996,0.3,0.5519999999999999
