Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,1.306,0.0,1.198,0.0,1.158,0.0,1.1480000000000001,0.0,1.112,0.0,1.022,0.0,1.1,0.0,1.056,0.0,1.088,0.0,1.024
0.02,1.306,0.02,1.198,0.02,1.158,0.02,1.1480000000000001,0.02,1.112,0.02,1.022,0.02,1.1,0.02,1.056,0.02,1.088,0.02,1.024
0.04,1.306,0.04,1.198,0.04,1.158,0.04,1.1480000000000001,0.04,1.112,0.04,1.022,0.04,1.1,0.04,1.056,0.04,1.088,0.04,1.024
0.06,1.306,0.06,1.198,0.06,1.158,0.06,1.1480000000000001,0.06,1.112,0.06,1.022,0.06,1.1,0.06,1.056,0.06,1.088,0.06,1.024
0.08,1.306,0.08,1.198,0.08,1.158,0.08,1.1480000000000001,0.08,1.112,0.08,1.022,0.08,1.1,0.08,1.056,0.08,1.088,0.08,1.024
0.1,1.306,0.1,1.158,0.1,1.152,0.1,1.1360000000000001,0.1,1.11,0.1,1.006,0.1,1.1,0.1,1.056,0.1,1.088,0.1,1.018
0.12,1.302,0.12,1.11,0.12,1.14,0.12,1.12,0.12,1.11,0.12,0.992,0.12,1.1,0.12,1.056,0.12,1.088,0.12,1.012
0.14,1.302,0.14,1.11,0.14,1.14,0.14,1.12,0.14,1.11,0.14,0.978,0.14,1.098,0.14,1.056,0.14,1.088,0.14,1.004
0.16,1.302,0.16,1.11,0.16,1.14,0.16,1.12,0.16,1.11,0.16,0.962,0.16,1.09,0.16,1.056,0.16,1.088,0.16,0.998
0.18,1.302,0.18,1.11,0.18,1.14,0.18,1.12,0.18,1.104,0.18,0.946,0.18,1.084,0.18,1.056,0.18,1.088,0.18,0.99
0.2,1.302,0.2,1.11,0.2,1.14,0.2,1.12,0.2,1.1,0.2,0.93,0.2,1.078,0.2,1.056,0.2,1.088,0.2,0.9780000000000001
0.22,1.302,0.22,1.11,0.22,1.14,0.22,1.12,0.22,1.1,0.22,0.914,0.22,1.078,0.22,1.044,0.22,1.088,0.22,0.966
0.24,1.302,0.24,1.11,0.24,1.14,0.24,1.12,0.24,1.1,0.24,0.8960000000000001,0.24,1.078,0.24,1.028,0.24,1.088,0.24,0.954
0.26,1.302,0.26,1.11,0.26,1.14,0.26,1.12,0.26,1.1,0.26,0.8800000000000001,0.26,1.078,0.26,1.0139999999999998,0.26,1.088,0.26,0.9400000000000001
0.28,1.302,0.28,1.11,0.28,1.14,0.28,1.12,0.28,1.098,0.28,0.8639999999999999,0.28,1.078,0.28,1.002,0.28,1.088,0.28,0.9259999999999999
0.3,1.302,0.3,1.11,0.3,1.14,0.3,1.12,0.3,1.092,0.3,0.8459999999999999,0.3,1.078,0.3,0.99,0.3,1.088,0.3,0.914
0.32,1.302,0.32,1.11,0.32,1.14,0.32,1.12,0.32,1.06,0.32,0.828,0.32,1.078,0.32,0.976,0.32,1.088,0.32,0.9
0.34,1.302,0.34,1.11,0.34,1.14,0.34,1.12,0.34,1.048,0.34,0.8099999999999999,0.34,1.078,0.34,0.9640000000000001,0.34,1.088,0.34,0.8859999999999999
0.36,1.302,0.36,1.11,0.36,1.14,0.36,1.12,0.36,1.032,0.36,0.79,0.36,1.078,0.36,0.95,0.36,1.084,0.36,0.8719999999999999
0.38,1.302,0.38,1.11,0.38,1.14,0.38,1.12,0.38,1.012,0.38,0.77,0.38,1.076,0.38,0.9380000000000001,0.38,1.084,0.38,0.86
0.4,1.302,0.4,1.11,0.4,1.14,0.4,1.12,0.4,0.9960000000000001,0.4,0.752,0.4,1.0740000000000003,0.4,0.9259999999999999,0.4,1.084,0.4,0.8460000000000001
0.42,1.302,0.42,1.11,0.42,1.14,0.42,1.12,0.42,0.982,0.42,0.734,0.42,1.068,0.42,0.9120000000000001,0.42,1.084,0.42,0.8320000000000001
0.44,1.294,0.44,1.11,0.44,1.14,0.44,1.12,0.44,0.9640000000000001,0.44,0.716,0.44,1.056,0.44,0.898,0.44,1.084,0.44,0.8160000000000001
0.46,1.238,0.46,1.11,0.46,1.14,0.46,1.118,0.46,0.95,0.46,0.698,0.46,1.056,0.46,0.884,0.46,1.078,0.46,0.8019999999999999
0.48,1.1780000000000002,0.48,1.11,0.48,1.14,0.48,1.11,0.48,0.9339999999999999,0.48,0.6799999999999999,0.48,1.056,0.48,0.868,0.48,1.056,0.48,0.786
0.5,1.1560000000000001,0.5,1.11,0.5,1.14,0.5,1.1060000000000003,0.5,0.916,0.5,0.66,0.5,1.044,0.5,0.852,0.5,1.048,0.5,0.77
0.52,1.1560000000000001,0.52,1.11,0.52,1.14,0.52,1.096,0.52,0.9,0.52,0.64,0.52,1.028,0.52,0.836,0.52,1.046,0.52,0.754
0.54,1.1560000000000001,0.54,1.11,0.54,1.14,0.54,1.086,0.54,0.884,0.54,0.62,0.54,1.016,0.54,0.82,0.54,1.044,0.54,0.738
0.56,1.1560000000000001,0.56,1.11,0.56,1.114,0.56,1.072,0.56,0.866,0.56,0.6,0.56,0.982,0.56,0.806,0.56,1.044,0.56,0.722
0.58,1.1560000000000001,0.58,1.11,0.58,1.092,0.58,1.058,0.58,0.85,0.58,0.58,0.58,0.968,0.58,0.79,0.58,1.044,0.58,0.704
0.6,1.1560000000000001,0.6,1.11,0.6,1.076,0.6,1.042,0.6,0.834,0.6,0.5599999999999999,0.6,0.952,0.6,0.776,0.6,1.044,0.6,0.686
0.62,1.1560000000000001,0.62,1.11,0.62,1.0579999999999998,0.62,1.028,0.62,0.818,0.62,0.54,0.62,0.938,0.62,0.7620000000000001,0.62,1.03,0.62,0.6679999999999999
0.64,1.1560000000000001,0.64,1.11,0.64,1.012,0.64,1.012,0.64,0.8019999999999999,0.64,0.52,0.64,0.922,0.64,0.7460000000000001,0.64,1.02,0.64,0.65
0.66,1.1560000000000001,0.66,1.11,0.66,0.9899999999999999,0.66,0.998,0.66,0.7859999999999999,0.66,0.5,0.66,0.908,0.66,0.728,0.66,1.004,0.66,0.6300000000000001
0.68,1.1560000000000001,0.68,1.1,0.68,0.982,0.68,0.982,0.68,0.768,0.68,0.4800000000000001,0.68,0.892,0.68,0.712,0.68,0.99,0.68,0.6100000000000001
0.7000000000000001,1.1560000000000001,0.7000000000000001,1.0859999999999999,0.7000000000000001,0.9640000000000001,0.7000000000000001,0.966,0.7000000000000001,0.75,0.7000000000000001,0.4600000000000001,0.7000000000000001,0.876,0.7000000000000001,0.694,0.7000000000000001,0.974,0.7000000000000001,0.592
0.72,1.1560000000000001,0.72,1.0699999999999998,0.72,0.938,0.72,0.95,0.72,0.7300000000000001,0.72,0.44000000000000006,0.72,0.86,0.72,0.676,0.72,0.96,0.72,0.5740000000000001
0.74,1.1560000000000001,0.74,1.054,0.74,0.9179999999999999,0.74,0.9339999999999999,0.74,0.71,0.74,0.42000000000000004,0.74,0.8460000000000001,0.74,0.6599999999999999,0.74,0.942,0.74,0.556
0.76,1.1560000000000001,0.76,1.036,0.76,0.9,0.76,0.916,0.76,0.69,0.76,0.4,0.76,0.8300000000000001,0.76,0.644,0.76,0.9280000000000002,0.76,0.538
0.78,1.1440000000000001,0.78,1.02,0.78,0.8700000000000001,0.78,0.9,0.78,0.6719999999999999,0.78,0.38,0.78,0.8140000000000001,0.78,0.626,0.78,0.9120000000000001,0.78,0.52
0.8,1.1219999999999999,0.8,1.004,0.8,0.852,0.8,0.884,0.8,0.6540000000000001,0.8,0.36,0.8,0.796,0.8,0.608,0.8,0.8959999999999999,0.8,0.5
0.8200000000000001,1.1,0.8200000000000001,0.986,0.8200000000000001,0.834,0.8200000000000001,0.868,0.8200000000000001,0.6359999999999999,0.8200000000000001,0.33999999999999997,0.8200000000000001,0.7779999999999999,0.8200000000000001,0.59,0.8200000000000001,0.8780000000000001,0.8200000000000001,0.48
0.84,1.082,0.84,0.968,0.84,0.8160000000000001,0.84,0.852,0.84,0.618,0.84,0.318,0.84,0.76,0.84,0.5700000000000001,0.84,0.8619999999999999,0.84,0.45999999999999996
0.86,1.062,0.86,0.95,0.86,0.798,0.86,0.836,0.86,0.6,0.86,0.296,0.86,0.74,0.86,0.55,0.86,0.844,0.86,0.43999999999999995
0.88,1.044,0.88,0.9299999999999999,0.88,0.78,0.88,0.82,0.88,0.58,0.88,0.274,0.88,0.72,0.88,0.53,0.88,0.8280000000000001,0.88,0.42000000000000004
0.9,1.0260000000000002,0.9,0.9120000000000001,0.9,0.76,0.9,0.8039999999999999,0.9,0.56,0.9,0.252,0.9,0.702,0.9,0.51,0.9,0.8099999999999999,0.9,0.4
0.92,1.008,0.92,0.8939999999999999,0.92,0.74,0.92,0.786,0.92,0.54,0.92,0.22999999999999998,0.92,0.6819999999999999,0.92,0.49000000000000005,0.92,0.794,0.92,0.38
0.9400000000000001,0.9880000000000001,0.9400000000000001,0.876,0.9400000000000001,0.72,0.9400000000000001,0.768,0.9400000000000001,0.52,0.9400000000000001,0.21000000000000002,0.9400000000000001,0.6599999999999999,0.9400000000000001,0.4699999999999999,0.9400000000000001,0.776,0.9400000000000001,0.36
0.96,0.97,0.96,0.858,0.96,0.6980000000000001,0.96,0.75,0.96,0.5,0.96,0.19,0.96,0.64,0.96,0.45,0.96,0.758,0.96,0.33999999999999997
0.98,0.95,0.98,0.8400000000000001,0.98,0.6759999999999999,0.98,0.73,0.98,0.48,0.98,0.168,0.98,0.6199999999999999,0.98,0.43,0.98,0.738,0.98,0.32
1.0,0.9299999999999999,1.0,0.82,1.0,0.654,1.0,0.712,1.0,0.45999999999999996,1.0,0.15,1.0,0.6,1.0,0.41000000000000003,1.0,0.72,1.0,0.3
1.02,0.9099999999999999,1.02,0.8,1.02,0.632,1.02,0.694,1.02,0.44000000000000006,1.02,0.132,1.02,0.5800000000000001,1.02,0.39,1.02,0.7,1.02,0.28
1.04,0.89,1.04,0.78,1.04,0.61,1.04,0.6759999999999999,1.04,0.42000000000000004,0.0,0.0,1.04,0.5599999999999999,1.04,0.372,1.04,0.68,1.04,0.26
1.06,0.8699999999999999,1.06,0.76,1.06,0.59,1.06,0.658,1.06,0.398,0.0,0.0,1.06,0.54,1.06,0.354,1.06,0.6599999999999999,1.06,0.24
1.08,0.85,1.08,0.74,1.08,0.57,1.08,0.64,1.08,0.376,0.0,0.0,1.08,0.522,1.08,0.33599999999999997,1.08,0.64,1.08,0.22200000000000003
1.1,0.8300000000000001,1.1,0.72,1.1,0.55,1.1,0.6199999999999999,1.1,0.354,0.0,0.0,1.1,0.5039999999999999,1.1,0.318,1.1,0.62,1.1,0.20400000000000001
1.12,0.8099999999999999,1.12,0.7,1.12,0.528,1.12,0.6,1.12,0.332,0.0,0.0,1.12,0.484,1.12,0.3,1.12,0.6,1.12,0.188
1.1400000000000001,0.79,1.1400000000000001,0.6799999999999999,1.1400000000000001,0.506,1.1400000000000001,0.5800000000000001,1.1400000000000001,0.30999999999999994,0.0,0.0,1.1400000000000001,0.46399999999999997,1.1400000000000001,0.28,1.1400000000000001,0.5800000000000001,1.1400000000000001,0.17200000000000001
1.16,0.77,1.16,0.658,1.16,0.484,1.16,0.5599999999999999,1.16,0.29000000000000004,0.0,0.0,1.16,0.446,1.16,0.266,1.16,0.56,1.16,0.158
1.18,0.75,1.18,0.638,1.18,0.462,1.18,0.54,1.18,0.27,0.0,0.0,1.18,0.426,1.18,0.244,1.18,0.54,1.18,0.14800000000000002
1.2,0.73,1.2,0.6159999999999999,1.2,0.44000000000000006,1.2,0.5199999999999999,1.2,0.25,0.0,0.0,1.2,0.40599999999999997,1.2,0.244,1.2,0.52,1.2,0.136
1.22,0.71,1.22,0.596,1.22,0.42000000000000004,1.22,0.5000000000000001,1.22,0.22999999999999998,0.0,0.0,1.22,0.388,1.22,0.244,1.22,0.5,0.0,0.0
1.24,0.6900000000000001,1.24,0.5740000000000001,1.24,0.398,1.24,0.48,1.24,0.21000000000000002,0.0,0.0,1.24,0.37,1.24,0.244,1.24,0.4779999999999999,0.0,0.0
1.26,0.67,1.26,0.554,1.26,0.376,1.26,0.45999999999999996,1.26,0.19,0.0,0.0,1.26,0.35,1.26,0.244,1.26,0.45599999999999996,0.0,0.0
1.28,0.65,1.28,0.532,1.28,0.354,1.28,0.44000000000000006,1.28,0.168,0.0,0.0,1.28,0.32999999999999996,1.28,0.244,1.28,0.434,0.0,0.0
1.3,0.628,1.3,0.512,1.3,0.332,1.3,0.42000000000000004,1.3,0.15,0.0,0.0,1.3,0.308,1.3,0.178,1.3,0.41200000000000003,0.0,0.0
1.32,0.6060000000000001,1.32,0.49000000000000005,1.32,0.30999999999999994,1.32,0.4,1.32,0.13599999999999998,0.0,0.0,1.32,0.28600000000000003,1.32,0.156,1.32,0.39,0.0,0.0
1.34,0.584,1.34,0.4699999999999999,1.34,0.29000000000000004,1.34,0.38,1.34,0.12599999999999997,0.0,0.0,1.34,0.264,0.0,0.0,1.34,0.37,0.0,0.0
1.36,0.562,1.36,0.45,1.36,0.268,1.36,0.36,1.36,0.12,0.0,0.0,1.36,0.242,0.0,0.0,1.36,0.354,0.0,0.0
1.3800000000000001,0.54,1.3800000000000001,0.43,1.3800000000000001,0.246,1.3800000000000001,0.34,1.3800000000000001,0.11599999999999999,0.0,0.0,1.3800000000000001,0.22000000000000003,0.0,0.0,1.3800000000000001,0.33399999999999996,0.0,0.0
1.4000000000000001,0.52,1.4000000000000001,0.4,1.4000000000000001,0.22400000000000003,1.4000000000000001,0.32,0.0,0.0,0.0,0.0,1.4000000000000001,0.2,0.0,0.0,1.4000000000000001,0.314,0.0,0.0
1.42,0.5,0.0,0.0,1.42,0.202,1.42,0.3,0.0,0.0,0.0,0.0,1.42,0.18,0.0,0.0,1.42,0.294,0.0,0.0
1.44,0.48,0.0,0.0,1.44,0.174,1.44,0.27999999999999997,0.0,0.0,0.0,0.0,1.44,0.16,0.0,0.0,1.44,0.278,0.0,0.0
1.46,0.45999999999999996,0.0,0.0,0.0,0.0,1.46,0.26,0.0,0.0,0.0,0.0,1.46,0.144,0.0,0.0,1.46,0.254,0.0,0.0
1.48,0.43999999999999995,0.0,0.0,0.0,0.0,1.48,0.24,0.0,0.0,0.0,0.0,1.48,0.132,0.0,0.0,1.48,0.23399999999999999,0.0,0.0
1.5,0.42000000000000004,0.0,0.0,0.0,0.0,1.5,0.22000000000000003,0.0,0.0,0.0,0.0,1.5,0.124,0.0,0.0,1.5,0.21400000000000002,0.0,0.0
1.52,0.4,0.0,0.0,0.0,0.0,1.52,0.2,0.0,0.0,0.0,0.0,1.52,0.118,0.0,0.0,1.52,0.194,0.0,0.0
1.54,0.38,0.0,0.0,0.0,0.0,1.54,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.172,0.0,0.0
1.56,0.36,0.0,0.0,0.0,0.0,1.56,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.156,0.0,0.0
1.58,0.33999999999999997,0.0,0.0,0.0,0.0,1.58,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.144,0.0,0.0
1.6,0.32,0.0,0.0,0.0,0.0,1.6,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.136,0.0,0.0
1.62,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.12600000000000003,0.0,0.0
