"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,0.73,,,0.000,0.69,,,0.000,0.70,,,0.000,0.67,,,0.000,0.63,,,0.000,0.68,,,0.000,0.76,,,0.000,0.58,,,0.000,0.62,,,0.000,0.71,,
0.020,0.73,-0.04,,0.020,0.69,-0.09,,0.020,0.70,0.06,,0.020,0.67,0.01,,0.020,0.62,-0.06,,0.020,0.67,-0.46,,0.020,0.75,-0.05,,0.020,0.56,-1.24,,0.020,0.60,-0.99,,0.020,0.70,-0.45,
0.040,0.73,0.02,-2.16,0.040,0.69,-0.09,-0.61,0.040,0.70,-0.28,-12.77,0.040,0.67,0.01,0.93,0.040,0.62,-0.07,1.47,0.040,0.66,-0.55,-5.27,0.040,0.75,-0.02,1.10,0.040,0.53,-1.29,-2.39,0.040,0.58,-0.98,-0.61,0.040,0.70,-0.51,-2.90
0.060,0.74,-0.12,-7.10,0.060,0.69,-0.11,-3.71,0.060,0.68,-0.45,-7.37,0.060,0.67,0.05,0.25,0.060,0.63,-0.01,-0.45,0.060,0.65,-0.67,-5.87,0.060,0.75,-0.01,0.39,0.060,0.50,-1.34,-2.02,0.060,0.56,-1.01,-1.36,0.060,0.69,-0.57,-2.02
0.080,0.73,-0.34,-8.97,0.080,0.68,-0.24,-5.82,0.080,0.68,-0.54,-3.98,0.080,0.67,0.06,-1.28,0.080,0.61,0.02,-4.81,0.080,0.63,-0.81,-5.62,0.080,0.75,-0.01,-0.11,0.080,0.48,-1.38,-1.71,0.080,0.54,-1.05,-1.72,0.080,0.67,-0.60,-1.21
0.100,0.72,-0.54,-8.14,0.100,0.69,-0.38,-7.10,0.100,0.66,-0.56,-3.60,0.100,0.67,-0.01,-3.39,0.100,0.63,-0.21,-8.86,0.100,0.62,-0.91,-4.56,0.100,0.75,-0.01,-0.48,0.100,0.45,-1.40,-1.73,0.100,0.52,-1.08,-1.74,0.100,0.66,-0.60,-0.84
0.120,0.71,-0.65,-7.01,0.120,0.67,-0.52,-7.50,0.120,0.65,-0.65,-5.81,0.120,0.67,-0.09,-4.25,0.120,0.62,-0.45,-8.26,0.120,0.60,-1.00,-3.50,0.120,0.75,-0.03,-1.05,0.120,0.42,-1.44,-2.10,0.120,0.50,-1.12,-1.70,0.120,0.65,-0.62,-0.98
0.140,0.69,-0.79,-6.44,0.140,0.66,-0.69,-8.05,0.140,0.64,-0.78,-8.45,0.140,0.66,-0.21,-3.19,0.140,0.60,-0.60,-5.00,0.140,0.58,-1.04,-3.40,0.140,0.75,-0.05,-2.02,0.140,0.39,-1.49,-2.38,0.140,0.47,-1.16,-1.44,0.140,0.64,-0.65,-0.95
0.160,0.68,-0.93,-5.94,0.160,0.65,-0.83,-8.17,0.160,0.62,-1.02,-8.62,0.160,0.67,-0.25,-1.41,0.160,0.60,-0.58,-4.40,0.160,0.55,-1.10,-4.38,0.160,0.75,-0.10,-3.23,0.160,0.36,-1.54,-2.11,0.160,0.45,-1.18,-1.12,0.160,0.62,-0.67,-0.69
0.180,0.66,-1.03,-5.65,0.180,0.63,-1.03,-7.42,0.180,0.60,-1.20,-6.38,0.180,0.65,-0.23,-1.07,0.180,0.58,-0.68,-6.08,0.180,0.54,-1.21,-5.57,0.180,0.75,-0.18,-4.39,0.180,0.33,-1.58,-1.62,0.180,0.43,-1.19,-0.95,0.180,0.61,-0.67,-0.59
0.200,0.63,-1.12,-6.68,0.200,0.60,-1.15,-6.22,0.200,0.57,-1.26,-4.07,0.200,0.65,-0.24,-3.99,0.200,0.56,-0.90,-7.32,0.200,0.51,-1.35,-5.10,0.200,0.74,-0.28,-5.11,0.200,0.30,-1.60,-1.17,0.200,0.40,-1.22,-1.07,0.200,0.60,-0.68,-0.85
0.220,0.61,-1.27,-8.27,0.220,0.58,-1.26,-5.21,0.220,0.55,-1.31,-3.84,0.220,0.65,-0.35,-7.80,0.220,0.55,-1.01,-6.31,0.220,0.48,-1.46,-3.16,0.220,0.74,-0.40,-5.42,0.220,0.27,-1.63,-0.89,0.220,0.38,-1.24,-1.35,0.220,0.58,-0.71,-1.07
0.240,0.59,-1.48,-8.35,0.240,0.55,-1.35,-5.13,0.240,0.52,-1.41,-4.54,0.240,0.64,-0.61,-9.52,0.240,0.52,-1.12,-4.80,0.240,0.45,-1.46,-1.66,0.240,0.73,-0.50,-5.40,0.240,0.23,-1.64,1.12,0.240,0.35,-1.27,-1.44,0.240,0.57,-0.73,-1.02
0.260,0.55,-1.66,-6.27,0.260,0.53,-1.45,-5.45,0.260,0.49,-1.52,-4.53,0.260,0.62,-0.79,-8.76,0.260,0.50,-1.21,-3.83,0.260,0.42,-1.47,1.32,0.260,0.72,-0.61,-5.25,0.260,0.20,-1.65,7.29,0.260,0.33,-1.30,-1.27,0.260,0.55,-0.75,-0.84
0.280,0.52,-1.74,-3.98,0.280,0.50,-1.57,-5.78,0.280,0.46,-1.60,-3.93,0.280,0.61,-0.94,-7.10,0.280,0.48,-1.28,-2.93,0.280,0.39,-1.53,3.45,0.280,0.70,-0.71,-5.09,0.280,0.17,-1.44,13.71,0.280,0.30,-1.32,-0.60,0.280,0.54,-0.76,-0.69
0.300,0.48,-1.77,-3.19,0.300,0.46,-1.69,-5.77,0.300,0.43,-1.66,-3.73,0.300,0.59,-1.07,-5.83,0.300,0.45,-1.32,-2.83,0.300,0.36,-1.23,-0.11,0.300,0.69,-0.82,-4.85,0.300,0.13,-0.95,190.07,0.300,0.28,-1.33,-0.07,0.300,0.52,-0.77,-0.66
0.320,0.45,-1.85,-3.68,0.320,0.43,-1.81,-5.41,0.320,0.40,-1.73,-4.04,0.320,0.56,-1.18,-4.68,0.320,0.42,-1.37,-3.44,0.320,0.32,-1.30,-9.41,0.320,0.67,-0.91,-4.44,0.320,0.13,-0.69,610.93,0.320,0.25,-1.31,-0.05,0.320,0.51,-0.79,-0.67
0.340,0.41,-1.93,-4.23,0.340,0.39,-1.91,-4.96,0.340,0.36,-1.83,-4.19,0.340,0.54,-1.25,-4.08,0.340,0.40,-1.46,-3.98,0.340,0.34,-1.72,-15.54,0.340,0.65,-1.00,-3.92,0.340,0.13,20.41,708.64,0.340,0.22,-1.32,0.17,0.340,0.49,-0.80,-0.65
0.360,0.37,-2.02,-4.29,0.360,0.35,-2.00,-4.60,0.360,0.32,-1.91,-3.92,0.360,0.51,-1.32,-4.28,0.360,0.37,-1.55,-3.84,0.360,0.26,-2.17,-7.72,0.360,0.63,-1.06,-3.72,0.360,0.09,50.51,84.62,0.360,0.20,-1.34,3.04,0.360,0.47,-0.82,-0.62
0.380,0.33,-2.11,-4.10,0.380,0.31,-2.09,-4.36,0.380,0.28,-1.98,-2.91,0.380,0.49,-1.42,-4.56,0.380,0.33,-1.62,-3.42,0.380,0.22,-2.22,7.15,0.380,0.61,-1.13,-3.92,0.380,2.62,32.88,-794.76,0.380,0.17,-1.28,9.53,0.380,0.46,-0.83,-0.56
0.400,0.29,-2.18,-2.24,0.400,0.27,-2.18,-1.24,0.400,0.24,-2.05,1.79,0.400,0.46,-1.52,-4.25,0.400,0.30,-1.67,-3.33,0.400,0.18,-1.73,20.18,0.400,0.59,-1.22,-4.08,0.400,3.70,-3.01,-904.03,0.400,0.14,-0.99,13.67,0.400,0.44,-0.84,-0.37
0.420,0.24,-2.26,4.77,0.420,0.22,-2.26,8.31,0.420,0.20,-2.04,12.75,0.420,0.42,-1.60,-3.58,0.420,0.27,-1.75,-2.88,0.420,0.15,-1.31,24.04,0.420,0.56,-1.31,-3.72,0.420,0.47,-21.44,-162.40,0.420,0.12,-0.53,286.32,0.420,0.42,-0.85,-0.21
0.440,0.20,-2.14,8.62,0.440,0.18,-1.98,22.32,0.440,0.16,-1.64,16.58,0.440,0.39,-1.66,-3.34,0.440,0.23,-1.82,1.04,0.440,0.12,-0.66,270.40,0.440,0.53,-1.38,-3.09,0.440,1.88,-3.65,264.92,0.440,0.12,-0.45,557.87,0.440,0.41,-0.84,-0.38
0.460,0.15,-1.58,2.59,0.460,0.13,-1.29,31.61,0.460,0.12,-0.86,3.28,0.460,0.36,-1.72,-3.52,0.460,0.19,-1.82,10.54,0.460,0.12,-0.40,546.90,0.460,0.51,-1.43,-2.66,0.460,1.86,14.03,77.29,0.460,0.12,32.54,286.00,0.460,0.39,-0.85,-0.88
0.480,0.12,-1.83,-5.01,0.480,0.12,-0.47,28.01,0.480,0.12,-1.24,-13.86,0.480,0.32,-1.80,-3.56,0.480,0.16,-1.48,12.88,0.480,0.13,29.82,354.31,0.480,0.48,-1.48,-2.58,0.480,1.86,-6.69,-184.09,0.480,0.09,32.89,-535.28,0.480,0.37,-0.88,-1.21
0.500,0.12,-2.26,2.58,0.500,0.12,0.02,15.39,0.500,0.13,-2.05,-9.24,0.500,0.29,-1.87,-3.36,0.500,0.12,-0.82,-0.17,0.500,0.09,33.84,-371.51,0.500,0.45,-1.53,-2.25,0.500,2.17,-9.12,-28.23,0.500,4.06,0.45,-818.91,0.500,0.36,-0.91,-1.01
0.520,0.00,-2.06,205.76,0.520,0.13,0.07,-5.12,0.520,0.00,-2.12,18.29,0.520,0.25,-1.93,-0.50,0.520,0.12,-1.26,-15.28,0.520,3.73,7.61,-940.36,0.520,0.42,-1.58,-1.82,0.520,0.77,-2.59,263.15,0.520,0.13,-32.60,-7.22,0.520,0.34,-0.93,-0.65
0.540,0.00,-1.04,576.81,0.540,0.13,0.02,-27.54,0.540,0.00,-1.09,34.71,0.540,0.21,-2.00,8.22,0.540,0.13,-2.05,-8.79,0.540,0.58,-22.78,-568.45,0.540,0.38,-1.59,-2.08,0.540,1.86,6.54,176.86,0.540,0.14,-0.25,542.64,0.540,0.32,-0.93,-0.50
0.560,0.00,21.64,745.96,0.560,0.13,-1.08,-36.08,0.560,0.00,0.00,26.75,0.560,0.17,-1.74,12.00,0.560,0.00,-2.09,27.60,0.560,0.55,-26.40,125.94,0.560,0.35,-1.64,-3.07,0.560,1.86,9.22,-39.34,0.560,0.10,32.72,2.44,0.560,0.30,-0.94,-0.60
0.580,0.00,43.25,367.46,0.580,0.13,-2.13,-17.46,0.580,0.00,0.00,9.10,0.580,0.13,-1.08,2.12,0.580,0.00,-1.06,61.09,0.580,0.54,-0.36,507.20,0.580,0.32,-1.73,-3.81,0.580,1.86,0.29,-100.35,0.580,4.06,0.25,-648.08,0.580,0.28,-0.96,-0.68
0.600,2.60,43.16,-312.33,0.600,0.00,-2.11,26.71,0.600,0.00,0.00,181.43,0.600,0.12,-1.41,-11.11,0.600,0.00,1.06,62.32,0.600,0.61,0.30,501.60,0.600,0.28,-1.82,-2.17,0.600,1.87,-1.06,59.89,0.600,0.13,-32.80,-36.02,0.600,0.26,-0.97,-0.48
0.620,2.59,21.54,-737.20,0.620,0.00,-1.05,67.19,0.620,0.00,0.00,592.34,0.620,0.13,-2.07,-5.37,0.620,0.00,2.14,18.79,0.620,0.49,11.38,365.50,0.620,0.25,-1.87,2.39,0.620,1.88,4.78,215.88,0.620,0.14,-12.49,960.24,0.620,0.24,-0.98,-0.01
0.640,2.59,5.88,-720.41,0.640,0.00,1.04,78.60,0.640,0.00,21.77,719.63,0.640,0.00,-2.08,67.54,0.640,0.13,2.20,-43.97,0.640,0.64,22.05,169.24,0.640,0.21,-1.76,9.50,0.640,1.72,11.92,139.89,0.640,0.09,41.14,898.39,0.640,0.22,-0.97,0.59
