"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.42,,,0.000,1.31,,,0.000,1.19,,,0.000,1.18,,,0.000,1.11,,,0.000,1.06,,,0.000,1.09,,,0.000,1.07,,,0.000,1.09,,,0.000,1.04,,
0.020,1.48,-7.44,,0.020,1.35,-5.03,,0.020,1.22,-1.93,,0.020,1.20,-1.63,,0.020,1.12,-0.12,,0.020,1.03,-1.01,,0.020,1.09,0.48,,0.020,1.06,0.11,,0.020,1.08,0.09,,0.020,1.03,-0.22,
0.040,1.12,-3.20,241.23,0.040,1.11,-3.65,77.02,0.040,1.12,-1.33,37.89,0.040,1.12,-1.19,24.57,0.040,1.11,-0.07,2.41,0.040,1.02,-0.80,7.96,0.040,1.11,0.30,-10.18,0.040,1.07,-0.31,1.10,0.040,1.09,0.12,0.24,0.040,1.03,-0.39,-3.25
0.060,1.08,2.21,160.54,0.060,1.11,-1.95,73.03,0.060,1.13,-0.41,36.99,0.060,1.12,-0.65,24.13,0.060,1.10,-0.02,3.69,0.060,1.01,-0.69,2.79,0.060,1.11,0.07,-10.10,0.060,1.07,0.15,11.29,0.060,1.09,0.10,-1.25,0.060,1.01,-0.35,-0.20
0.080,1.43,5.71,29.04,0.080,1.11,0.06,46.94,0.080,1.13,0.63,24.95,0.080,1.12,0.03,15.63,0.080,1.12,0.14,1.48,0.080,0.99,-0.71,-0.51,0.080,1.10,-0.14,-8.95,0.080,1.01,0.55,6.29,0.080,1.09,0.05,-1.62,0.080,1.01,-0.32,0.21
0.100,1.43,2.92,-75.40,0.100,1.11,0.03,15.85,0.100,1.16,0.55,7.36,0.100,1.12,0.04,4.88,0.100,1.10,0.12,-3.10,0.100,0.98,-0.76,-1.60,0.100,1.10,-0.29,-6.30,0.100,1.13,0.60,-13.05,0.100,1.09,0.02,-0.74,0.100,1.01,-0.32,-1.44
0.120,1.45,-0.42,-82.44,0.120,1.11,0.01,-0.64,0.120,1.16,0.71,-4.75,0.120,1.12,0.00,-1.23,0.120,1.12,-0.03,-8.11,0.120,0.96,-0.79,-1.12,0.120,1.10,-0.41,-2.50,0.120,1.08,-0.01,-23.27,0.120,1.09,0.01,0.40,0.120,1.00,-0.40,-2.99
0.140,1.41,-0.71,-28.26,0.140,1.11,0.01,-0.25,0.140,1.16,0.40,-9.81,0.140,1.12,-0.03,-0.92,0.140,1.11,-0.22,-1.98,0.140,0.95,-0.80,-0.65,0.140,1.08,-0.42,4.94,0.140,1.08,-0.86,-18.80,0.140,1.09,0.05,0.39,0.140,0.99,-0.45,-4.05
0.160,1.40,-0.56,8.77,0.160,1.11,0.00,-0.06,0.160,1.21,0.22,-11.61,0.160,1.12,-0.05,0.19,0.160,1.10,-0.49,9.36,0.160,0.93,-0.80,-0.55,0.160,1.07,-0.32,13.17,0.160,1.06,-0.78,-5.97,0.160,1.09,0.07,-0.05,0.160,0.98,-0.55,-3.95
0.180,1.40,-0.34,18.86,0.180,1.11,0.00,-0.10,0.180,1.16,-0.14,-5.20,0.180,1.12,-0.03,1.41,0.180,1.09,0.34,8.70,0.180,0.91,-0.82,-0.56,0.180,1.07,0.21,15.17,0.180,1.04,-0.88,2.90,0.180,1.10,0.01,0.66,0.180,0.97,-0.65,-2.56
